T+COPN
+COPN: "61701","CELLPLUS"
+COPN: "61710","EMTEL"
+COPN: "61801","Lonestar Cell"
+COPN: "61802","LIBERCELL"
+COPN: "61900","LINTEL Limited"
+COPN: "61902","MILLICOM"
+COPN: "62001","SPACEFON"
+COPN: "62002","Ghana Telecom Mobile GSM"
+COPN: "62003","MOBITEL"
+COPN: "62120","Econet Wireless Nigeria "
+COPN: "62130","MTN Nigeria "
+COPN: "62140","Mtel"
+COPN: "62150","Glo Mobile "
+COPN: "62201","CelTel"
+COPN: "62202","LIBERTIS"
+COPN: "62401","MTN Cameroon"
+COPN: "62402","Orange"
+COPN: "62501","CVMOVEL"
+COPN: "62601","CSTmovel"
+COPN: "62701","GETESA"
+COPN: "62801","LIBERTIS"
+COPN: "62802","TELECEL"
+COPN: "62803","CELTEL"
+COPN: "62901","CelTel Congo"
+COPN: "62910","Libertis Telecom"
+COPN: "63001","VODACOM CONGO"
+COPN: "63002","CelTel Congo SA "
+COPN: "63004","CELLCO"
+COPN: "63089","SAIT Telecom"
+COPN: "63102","UNITEL"
+COPN: "63301","CABLE & WIRELESS"
+COPN: "63310","AIRTEL"
+COPN: "63401","MobiTel"
+COPN: "63510","Rwandacell"
+COPN: "63601","ETMTN"
+COPN: "63701","TELESOM"
+COPN: "63782","Telsom Mobile"
+COPN: "63801","Evatis"
+COPN: "63902","Safaricom"
+COPN: "63903","KENCELL"
+COPN: "64002","MOBITEL"
+COPN: "64003","ZANTEL"
+COPN: "64004","Vodacom Tanzania Limited"
+COPN: "64005","Celtel"
+COPN: "64101","CelTel Cellular"
+COPN: "64110","MTN-UGANDA"
+COPN: "64111","UTL-Mango"
+COPN: "64201","MASCOM"
+COPN: "64202","SAFARIS"
+COPN: "64282","Telecel-Burundi Company"
+COPN: "64301","mCel"
+COPN: "64304","Vodacom Mozambique"
+COPN: "64501","CELTEL"
+COPN: "64601","Madacom"
+COPN: "64602","Orange Madagascar"
+COPN: "64700","Orange reunion"
+COPN: "64702","Outremer Telecom"
+COPN: "64710","SFR REUNION"
+COPN: "64801","NET*ONE Cellular"
+COPN: "64803","TELECEL"
+COPN: "64804","ECONET"
+COPN: "64901","MTC"
+COPN: "65001","VODACOM LESOTHO"
+COPN: "65010","CELTEL"
+COPN: "65101","VODACOM LESOTHO"
+COPN: "65102","Econet Ezi-Cel"
+COPN: "65201","MASCOM"
+COPN: "65202","Orange"
+COPN: "65310","Swazi MTN"
+COPN: "65401","HURI"
+COPN: "65501","VodaCom"
+COPN: "65507","Cell C"
+COPN: "65510","Mobile Telephone Network"
+COPN: "70267","Belize Telecommunicate"
+COPN: "70268","International Telecom"
+COPN: "70402","COMCEL GUATEMALA"
+COPN: "70601","CTE Telecom Personal"
+COPN: "70602","Digicel"
+COPN: "70603","Telemovil El Salvador"
+COPN: "70604","Telefonica"
+COPN: "70801","MEGATEL "
+COPN: "70802","CELTEL "
+COPN: "71021","ENITEL "
+COPN: "71073","SERCOM S.A. "
+COPN: "71201","I.C.E. "
+COPN: "71401","Cable & Wireless Panama"
+COPN: "71610","TIM PERU"
+COPN: "72207","UNIFON"
+COPN: "72234","PERSONAL"
+COPN: "72235","PORT-HABLE"
+COPN: "722310","CTI Movil"
+COPN: "72402","TIM BRASIL"
+COPN: "72403","TIM BRASIL"
+COPN: "72404","TIM BRASIL"
+COPN: "72405","Claro"
+COPN: "72415","SERCOMTEL"
+COPN: "72416","Brasil Telecom Cellular"
+COPN: "72423","Telemig Celular S/A"
+COPN: "72424","Amazonia Celular S/A"
+COPN: "72431","TNL PCS S.A."
+COPN: "72432","CTBC Cellular"
+COPN: "72433","CTBC Cellular"
+COPN: "72434","CTBC Cellular"
+COPN: "724724","CTBC Cellular"
+COPN: "73001","ENTEL TELEFONIA MOVIL"
+COPN: "73002","TELEFONICA"
+COPN: "73010","ENTEL PCS"
+COPN: "732101","Occel SA"
+COPN: "732103","Colombia Movil SA"
+COPN: "73401","INFONET"
+COPN: "73402","DIGITEL TIM"
+COPN: "73601","Nuevatel De Bolivia SA"
+COPN: "73602","Entel "
+COPN: "73801","Cel*Star Guyana Inc "
+COPN: "74001","Conecel S.A."
+COPN: "74401","VOX"
+COPN: "74402","Hutchison Paraguay SA"
+COPN: "74404","Telecel Paraguay"
+COPN: "74405","Personal"
+COPN: "74601","ICMS NV"
+COPN: "74602","TELESUR.GSM"
+COPN: "90112","Maritime Comm Partner AS"
